OffspringID,InferredDad,InferredMum,Probability
MC19_J0436,MC19_M0672,MC19_F0075,1
MC19_J0349,MC19_M0154,MC19_F0536,1
MC19_J0357,*,#,1
MC19_J0365,MC19_RM010,MC19_F0922,1
MC19_J0373,*,#,1
MC19_J0381,MC19_M0304,MC19_F0187,1
MC19_J0389,MC19_RM044,MC19_F0977,1
MC19_J0397,MC19_RM061,MC19_F0078,1
MC19_J0405,MC19_M0056,MC19_F0977,1
MC19_J0413,MC19_M0012,MC19_F0964,1
MC19_J0421,MC19_RM033,#,1
MC19_J0429,MC19_RM031,MC19_F0006,1
MC19_J0437,MC19_M0304,MC19_F0187,1
MC19_J0350,MC19_RM030,MC19_F0338,1
MC19_J0358,MC19_M0976,#,1
MC19_J0366,MC19_RM098,MC19_F0485,1
MC19_J0374,MC19_M0301,MC19_F0367,1
MC19_J0382,*,#,1
MC19_J0390,*,#,1
MC19_J0398,MC19_RM045,MC19_F0147,1
MC19_J0406,MC19_RM008,MC19_F0964,1
MC19_J0414,MC19_M0020,#,1
MC19_J0422,MC19_RM113,#,1
MC19_J0430,MC19_RM058,MC19_F0243,1
MC19_J0439,MC19_M0155,MC19_F0546,1
MC19_J0447,MC19_M0681,MC19_F0038,1
MC19_J0455,MC19_RM051,MC19_F0502,1
MC19_J0463,MC19_M0128,MC19_F0372,1
MC19_J0471,MC19_M0304,MC19_F0187,1
MC19_J0479,*,#,1
MC19_J0487,MC19_RM040,MC19_F0416,1
MC19_J0495,MC19_RM067,MC19_F0057,1
MC19_J0503,MC19_M0682,MC19_F0980,1
MC19_J0511,MC19_RM079,MC19_F0073,1
MC19_J0519,*,#,1
MC19_J0527,MC19_RM043,MC19_F0390,1
MC19_J0440,*,#,1
MC19_J0448,MC19_M0015,MC19_F0888,1
MC19_J0456,*,#,1
MC19_J0464,MC19_M0531,MC19_F0078,1
MC19_J0472,MC19_RM070,MC19_F0215,1
MC19_J0480,MC19_RM064,MC19_F0075,1
MC19_J0488,MC19_RM051,MC19_F0502,1
MC19_J0496,MC19_RM071,MC19_F0428,1
MC19_J0504,MC19_M0041,MC19_F0972,1
MC19_J0512,*,#,1
MC19_J0520,MC19_M0564,MC19_F0149,1
MC19_J0528,MC19_RM099,MC19_F0912,1
MC19_J0441,MC19_RM092,MC19_F0010,1
MC19_J0449,MC19_RM036,MC19_F0219,1
MC19_J0457,MC19_RM093,MC19_F0867,1
MC19_J0465,MC19_RM064,MC19_F0075,1
MC19_J0473,MC19_RM073,MC19_F0063,1
MC19_J0481,MC19_RM069,MC19_F0595,1
MC19_J0489,MC19_RM067,MC19_F0057,1
MC19_J0497,MC19_M0997,MC19_F0918,1
MC19_J0505,*,MC19_F0138,1
MC19_J0513,MC19_M0968,MC19_F0404,1
MC19_J0521,MC19_RM040,MC19_F0416,1
MC19_J0529,MC19_RM067,MC19_F0057,1
MC19_J0442,MC19_M0896,#,1
MC19_J0450,MC19_RM085,MC19_F0326,1
MC19_J0458,MC19_M0681,MC19_F0038,1
MC19_J0466,MC19_M0589,MC19_F0215,1
MC19_J0474,MC19_M0015,MC19_F0888,1
MC19_J0482,MC19_M0173,MC19_F0912,1
MC19_J0490,MC19_RM105,MC19_F0404,1
MC19_J0498,MC19_M0174,MC19_F0416,1
MC19_J0506,MC19_M0041,MC19_F0972,1
MC19_J0514,MC19_RM045,MC19_F0147,1
MC19_J0522,MC19_RM055,MC19_F0546,1
MC19_J0530,MC19_M0681,MC19_F0038,1
MC19_J0443,MC19_M0531,MC19_F0078,1
MC19_J0451,MC19_M0128,MC19_F0372,1
MC19_J0459,MC19_M0518,MC19_F0192,1
MC19_J0467,MC19_RM113,#,1
MC19_J0475,MC19_RM022,MC19_F0989,1
MC19_J0483,MC19_M0891,MC19_F0106,1
MC19_J0491,MC19_M0304,MC19_F0187,1
MC19_J0499,MC19_RM061,MC19_F0078,1
MC19_J0507,MC19_RM064,MC19_F0075,1
MC19_J0515,MC19_M0681,MC19_F0038,1
MC19_J0523,MC19_RM105,MC19_F0404,1
MC19_J0531,MC19_M0589,MC19_F0215,1
MC19_J0444,MC19_RM093,MC19_F0867,1
MC19_J0452,MC19_M0997,MC19_F0918,1
MC19_J0460,MC19_M0968,MC19_F0404,1
MC19_J0468,MC19_RM067,MC19_F0057,1
MC19_J0476,MC19_RM008,MC19_F0964,1
MC19_J0484,*,MC19_F0506,1
MC19_J0492,MC19_M0997,MC19_F0918,1
MC19_J0500,MC19_M0693,MC19_F0268,1
MC19_J0508,MC19_M0301,MC19_F0367,1
MC19_J0516,MC19_M0423,MC19_F0909,1
MC19_J0524,MC19_M0015,MC19_F0888,1
MC19_J0532,MC19_M0174,MC19_F0416,1
MC19_J0445,MC19_M0319,MC19_F0989,1
MC19_J0453,MC19_RM064,MC19_F0075,1
MC19_J0461,MC19_M0128,MC19_F0372,1
MC19_J0469,MC19_RM025,MC19_F0264,1
MC19_J0477,MC19_M0304,MC19_F0187,1
MC19_J0493,MC19_M0062,MC19_F0459,1
MC19_J0501,MC19_RM057,MC19_F0242,1
MC19_J0509,MC19_RM099,MC19_F0912,1
MC19_J0517,MC19_M0304,MC19_F0187,1
MC19_J0525,MC19_M0831,MC19_F0096,1
MC19_J0533,MC19_M0049,MC19_F0933,1
MC19_J0446,MC19_M0891,MC19_F0106,1
MC19_J0454,MC19_M0831,MC19_F0096,1
MC19_J0462,MC19_RM010,MC19_F0922,1
MC19_J0470,MC19_M0891,MC19_F0106,1
MC19_J0478,MC19_RM109,MC19_F0999,1
MC19_J0486,*,#,1
MC19_J0494,MC19_M0041,MC19_F0972,1
MC19_J0502,MC19_RM094,MC19_F0163,1
MC19_J0510,MC19_RM109,MC19_F0999,1
MC19_J0518,MC19_M0831,MC19_F0096,1
MC19_J0526,MC19_RM058,MC19_F0243,1
MC19_J0535,MC19_M0531,MC19_F0078,1
MC19_J0543,MC19_RM022,MC19_F0989,1
MC19_J0551,MC19_RM017,MC19_F0988,1
MC19_J0559,MC19_RM010,MC19_F0922,1
MC19_J0567,MC19_M0516,MC19_F0455,1
MC19_J0591,MC19_RM015,MC19_F0187,1
MC19_J0599,MC19_M0997,MC19_F0918,1
MC19_J0607,MC19_RM010,MC19_F0922,1
MC19_J0623,MC19_M0997,MC19_F0918,1
MC19_J0536,MC19_M0976,#,1
MC19_J0544,MC19_RM102,MC19_F0658,1
MC19_J0552,MC19_RM011,MC19_F0461,1
MC19_J0560,MC19_RM061,MC19_F0078,1
MC19_J0576,MC19_RM106,MC19_F0488,1
MC19_J0600,MC19_RM052,MC19_F0014,1
MC19_J0616,MC19_RM022,MC19_F0989,1
MC19_J0537,MC19_RM052,MC19_F0014,1
MC19_J0545,MC19_M0672,MC19_F0075,1
MC19_J0553,MC19_RM010,MC19_F0922,1
MC19_J0561,MC19_M0518,MC19_F0192,1
MC19_J0569,MC19_M0681,MC19_F0038,1
MC19_J0577,MC19_M0997,MC19_F0918,1
MC19_J0585,MC19_M0423,MC19_F0909,1
MC19_J0593,*,#,1
MC19_J0601,MC19_RM007,MC19_F0106,1
MC19_J0609,*,#,1
MC19_J0617,MC19_M0516,MC19_F0455,1
MC19_J0625,*,#,1
MC19_J0538,MC19_RM033,#,1
MC19_J0546,MC19_RM112,MC19_F0972,1
MC19_J0554,MC19_RM112,MC19_F0972,1
MC19_J0562,*,#,1
MC19_J0570,MC19_M0374,MC19_F0036,1
MC19_J0578,MC19_RM071,MC19_F0428,1
MC19_J0586,MC19_RM074,MC19_F0888,1
MC19_J0594,MC19_RM105,MC19_F0404,1
MC19_J0602,MC19_M0891,MC19_F0106,1
MC19_J0618,MC19_RM067,MC19_F0057,1
MC19_J0626,MC19_M0020,#,1
MC19_J0539,MC19_M0154,MC19_F0536,1
MC19_J0547,MC19_RM098,MC19_F0485,1
MC19_J0555,MC19_RM033,#,1
MC19_J0563,*,MC19_F0138,1
MC19_J0571,MC19_M0015,MC19_F0888,1
MC19_J0579,MC19_M0155,MC19_F0546,1
MC19_J0587,MC19_M0056,MC19_F0977,1
MC19_J0595,MC19_RM083,MC19_F0268,1
MC19_J0603,*,#,1
MC19_J0611,MC19_RM007,MC19_F0106,1
MC19_J0540,MC19_RM008,MC19_F0964,1
MC19_J0548,MC19_M0968,MC19_F0404,1
MC19_J0556,MC19_RM044,MC19_F0977,1
MC19_J0564,MC19_M0056,MC19_F0977,1
MC19_J0572,MC19_M0693,MC19_F0268,1
MC19_J0580,MC19_RM071,MC19_F0428,1
MC19_J0588,MC19_M0304,MC19_F0187,1
MC19_J0596,MC19_RM018,MC19_F0918,1
MC19_J0604,MC19_M0056,MC19_F0977,1
MC19_J0612,MC19_RM074,MC19_F0888,1
MC19_J0620,MC19_RM074,MC19_F0888,1
MC19_J0628,MC19_RM074,MC19_F0888,1
MC19_J0541,*,#,1
MC19_J0549,MC19_RM007,MC19_F0106,1
MC19_J0557,MC19_M0531,MC19_F0078,1
MC19_J0565,MC19_M0056,MC19_F0977,1
MC19_J0573,MC19_RM007,MC19_F0106,1
MC19_J0581,MC19_M0840,MC19_F0120,1
MC19_J0589,MC19_M0015,MC19_F0888,1
MC19_J0597,MC19_M0662,MC19_F0578,1
MC19_J0605,MC19_RM073,MC19_F0063,1
MC19_J0621,MC19_RM043,MC19_F0390,1
MC19_J0629,MC19_RM026,MC19_F0347,1
MC19_J0542,MC19_M0531,MC19_F0078,1
MC19_J0550,MC19_RM057,MC19_F0242,1
MC19_J0558,MC19_M0899,MC19_F0138,1
MC19_J0566,MC19_RM109,MC19_F0999,1
MC19_J0574,MC19_RM111,MC19_F0441,1
MC19_J0582,MC19_M0355,MC19_F0402,1
MC19_J0598,MC19_M0366,MC19_F0338,1
MC19_J0606,MC19_M0355,MC19_F0402,1
MC19_J0622,MC19_M0319,MC19_F0989,1
MC19_J0631,MC19_RM074,MC19_F0888,1
MC19_J0647,MC19_RM007,MC19_F0106,1
MC19_J0655,MC19_RM033,#,1
